Designator,Mid X,Mid Y,Rotation,Layer
D74,115.0,-100.0,180.0,top
D75,120.0,-100.0,180.0,top
D76,125.0,-100.0,180.0,top
D77,130.0,-100.0,180.0,top
D78,135.0,-100.0,180.0,top
D79,140.0,-100.0,180.0,top
D8,105.0,-75.0,180.0,top
D80,145.0,-100.0,180.0,top
D81,150.0,-100.0,180.0,top
D82,155.0,-100.0,180.0,top
D83,85.0,-105.0,180.0,top
D84,90.0,-105.0,180.0,top
D85,95.0,-105.0,180.0,top
D86,100.0,-105.0,180.0,top
D87,105.0,-105.0,180.0,top
D88,110.0,-105.0,180.0,top
D89,115.0,-105.0,180.0,top
D9,110.0,-75.0,180.0,top
D90,120.0,-105.0,180.0,top
D91,125.0,-105.0,180.0,top
D92,130.0,-105.0,180.0,top
D93,135.0,-105.0,180.0,top
D94,140.0,-105.0,180.0,top
D95,145.0,-105.0,180.0,top
D96,150.0,-105.0,180.0,top
D97,155.0,-105.0,180.0,top
D98,85.0,-110.0,180.0,top
D99,90.0,-110.0,180.0,top
J2,148.0,-121.8,90.0,bottom
J3,119.5,-62.25,180.0,bottom
L1,135.0,-80.75,180.0,bottom
L2,98.2875,-77.7,0.0,bottom
R1,147.6,-103.0,270.0,bottom
R10,127.0,-92.5,90.0,bottom
R11,125.0,-92.5,90.0,bottom
R12,110.425,-96.0,0.0,bottom
R13,110.425,-97.5,0.0,bottom
R14,110.425,-99.0,0.0,bottom
R15,110.425,-101.0,0.0,bottom
R16,110.425,-102.5,0.0,bottom
R17,110.425,-104.0,0.0,bottom
R18,110.5,-106.0,0.0,bottom
R19,110.5,-107.5,0.0,bottom
R2,100.75,-132.75,0.0,bottom
R20,110.5,-109.0,0.0,bottom
R21,126.75,-71.25,90.0,bottom
R22,126.0,-79.75,270.0,bottom
R23,117.25,-69.25,270.0,bottom
R24,119.0,-69.25,270.0,bottom
R25,143.325,-72.0,0.0,bottom
R26,137.75,-68.0,180.0,bottom
R27,147.075,-72.0,0.0,bottom
R28,145.075,-74.5,0.0,bottom
R29,116.0,-77.5,0.0,bottom
R30,106.0,-77.5,0.0,bottom
R31,111.0,-77.5,0.0,bottom
R32,99.75,-87.2,270.0,bottom
R33,97.75,-87.2,90.0,bottom
R34,95.75,-87.2,90.0,bottom
R35,119.4,-132.75,0.0,bottom
R36,124.0,-132.75,180.0,bottom
R5,135.0,-92.5,90.0,bottom
R6,133.5,-92.5,90.0,bottom
R7,132.0,-92.5,90.0,bottom
R8,130.0,-92.5,90.0,bottom
R9,128.5,-92.5,90.0,bottom
U1,120.0,-105.0,270.0,bottom
U2,133.0,-73.0,180.0,bottom
U3,98.25,-82.45,90.0,bottom
U4,120.0,-137.85,0.0,bottom
Y1,142.4,-109.775,90.0,bottom
Y2,136.2,-102.4,270.0,bottom
